task,case,engine,encoding,samples,final_p1_from_trace,mean_p1_from_trace,trace_path
task1_single_qubit_baseline,baseline,qutip,per_qubit_excited_probability,1001,0.9997596199783175,0.8796482464979162,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\baseline\qutip\trace.h5
task1_single_qubit_baseline,baseline,julia_qtoolbox,basis_population_single_qubit,1001,0.6578914699189571,0.6266770664723004,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\baseline\julia_qtoolbox\trace.h5
task1_single_qubit_baseline,baseline,julia_qoptics,basis_population_single_qubit,1001,0.6578938453071901,0.6650482345952882,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\baseline\julia_qoptics\trace.h5
task1_single_qubit_baseline,detuned,qutip,per_qubit_excited_probability,1001,0.9999962818466597,0.9195795843823249,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\detuned\qutip\trace.h5
task1_single_qubit_baseline,detuned,julia_qtoolbox,basis_population_single_qubit,1001,0.6466687230263077,0.6277415979047759,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\detuned\julia_qtoolbox\trace.h5
task1_single_qubit_baseline,detuned,julia_qoptics,basis_population_single_qubit,1001,0.6466769241042816,0.6516989270869181,D:\超导量子计算机噪声抑制\qsim\examples\noise_simulation_tests\runs\required_tasks_tri_engine\task1_single_qubit_baseline\detuned\julia_qoptics\trace.h5
